image_path,rx,ry,rz,tx,ty,tz
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4580.png,-83,5,-2,16,-8,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7296.png,-94,-5,-1,0,-2,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33330.png,-96,5,1,18,6,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_16637.png,-96,-5,1,18,4,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3725.png,-86,6,1,0,-2,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18358.png,-95,-7,-4,-12,-8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_10932.png,-95,7,4,6,4,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28290.png,-96,-2,0,-4,2,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27945.png,-91,1,2,-20,6,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19472.png,-94,4,-4,-20,-2,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33721.png,-88,6,2,-8,-4,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23480.png,-92,8,-3,18,-4,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8462.png,-95,2,0,18,-2,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18136.png,-84,-7,1,8,4,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8098.png,-91,1,-3,-12,8,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4025.png,-90,8,-4,-10,0,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2575.png,-83,-2,-3,-14,2,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24830.png,-86,-8,-4,-12,-4,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_674.png,-91,-2,0,10,8,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29796.png,-94,-8,1,-6,-6,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24977.png,-95,-2,0,16,8,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3246.png,-94,6,4,0,2,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5063.png,-96,5,-1,2,-6,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20473.png,-89,-5,-4,12,-4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_259.png,-91,4,0,10,-2,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19489.png,-96,7,-2,8,-8,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17829.png,-92,7,0,18,-6,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13207.png,-97,0,1,8,-2,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21452.png,-89,4,0,4,0,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25983.png,-88,8,3,-16,4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18486.png,-95,-5,-2,12,6,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_16985.png,-93,-5,1,-14,0,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19452.png,-88,8,-2,14,-8,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18413.png,-85,-6,3,-4,-8,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25202.png,-88,4,2,8,-6,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5624.png,-90,5,-3,18,-8,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5501.png,-95,-3,-3,18,2,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29296.png,-91,8,4,10,-4,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33788.png,-95,5,2,-12,6,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32699.png,-87,2,3,-6,-4,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17165.png,-93,1,-4,-8,-2,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34023.png,-88,0,-4,-6,-2,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33338.png,-82,-6,3,-6,-2,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33052.png,-85,5,0,-10,-4,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24882.png,-84,6,2,4,4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33904.png,-85,7,-2,-16,-2,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1651.png,-95,0,4,0,-8,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1314.png,-95,2,-4,-10,-4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_10872.png,-88,0,3,-10,4,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28345.png,-94,4,0,-16,-8,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29566.png,-83,2,-4,2,0,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27415.png,-89,-8,1,-16,6,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28539.png,-96,-5,1,10,6,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5535.png,-98,5,2,16,-4,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6348.png,-85,-6,-3,-18,-4,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22483.png,-89,-1,-4,16,-2,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13603.png,-82,0,-3,18,8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33299.png,-85,-7,2,-2,0,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12622.png,-89,4,-3,16,-2,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22629.png,-96,-3,-4,6,-4,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12226.png,-87,-3,1,8,-2,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4088.png,-94,-7,0,-10,-4,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5340.png,-93,3,-1,-2,8,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7063.png,-95,2,-2,4,-2,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21841.png,-90,-3,0,-10,-6,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23931.png,-86,1,-4,10,6,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15196.png,-90,7,-3,-18,0,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23634.png,-84,0,1,14,0,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18718.png,-96,7,4,8,4,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9714.png,-94,-5,1,18,-8,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7381.png,-86,7,-2,-10,-4,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21166.png,-91,-2,1,16,-4,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20706.png,-94,-1,2,0,2,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19987.png,-91,-4,0,12,4,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29814.png,-91,-6,2,4,6,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28603.png,-85,-8,1,18,0,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7852.png,-82,-7,-3,-20,0,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23917.png,-83,-5,-3,4,2,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_68.png,-88,-4,1,18,0,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25654.png,-84,-3,4,-12,-8,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13803.png,-89,7,-1,12,-4,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29114.png,-82,-7,2,8,4,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26242.png,-89,-3,-3,-4,-8,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22175.png,-97,-6,2,12,-2,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22651.png,-83,8,3,0,-2,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17809.png,-86,-3,0,18,-2,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24309.png,-82,0,-2,6,8,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8510.png,-85,4,0,18,-6,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9525.png,-90,-6,-2,2,-8,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31456.png,-94,6,0,2,-2,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5977.png,-94,-2,4,-16,-8,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2302.png,-82,0,0,-4,4,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15851.png,-96,-1,1,-14,-2,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8296.png,-88,5,-4,0,-8,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7923.png,-83,-3,3,16,2,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3603.png,-89,6,-3,18,0,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_10710.png,-96,-8,2,6,-2,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7850.png,-82,-2,4,-14,2,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8790.png,-83,-4,-2,-20,8,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14853.png,-96,5,4,18,2,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29239.png,-83,-2,0,-2,8,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32071.png,-86,4,0,12,-4,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_981.png,-95,8,0,16,-2,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34953.png,-91,1,4,6,-2,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14058.png,-86,1,1,6,4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12102.png,-92,1,3,-10,0,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27303.png,-82,-1,1,-10,2,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21220.png,-93,8,2,-16,-4,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9913.png,-83,0,-4,10,-6,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30463.png,-91,-2,-4,0,2,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33580.png,-85,-7,-1,0,2,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4320.png,-90,2,0,14,2,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22339.png,-89,-2,4,2,0,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32031.png,-95,-2,2,-14,-4,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33479.png,-82,6,4,12,4,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14197.png,-94,2,1,-4,-6,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5983.png,-91,2,-1,-2,6,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18394.png,-93,-3,4,0,0,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8812.png,-90,-7,0,14,2,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14597.png,-90,5,-1,-8,6,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7086.png,-92,-6,-1,8,2,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3997.png,-88,0,4,-14,-2,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21799.png,-96,4,1,-16,-6,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_16072.png,-92,-3,1,-12,4,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12843.png,-83,0,2,16,2,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4850.png,-86,-4,-1,14,0,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_873.png,-94,-3,-1,6,6,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13359.png,-84,-5,0,-6,-2,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21937.png,-93,-7,-4,-16,-4,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18344.png,-83,2,3,-6,-6,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26841.png,-89,-8,-2,-12,-4,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23340.png,-96,-6,-2,14,2,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15422.png,-84,8,1,-20,-6,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9424.png,-94,7,-3,16,0,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19013.png,-93,4,4,18,-4,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34484.png,-89,-1,0,-2,-8,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4795.png,-82,5,0,-16,8,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4928.png,-98,3,3,2,-2,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3881.png,-94,-3,-4,6,4,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12507.png,-91,4,-3,4,4,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32972.png,-98,1,-2,2,-8,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19830.png,-97,8,0,0,-6,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2650.png,-88,4,0,14,-2,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_812.png,-94,-1,-3,-10,-4,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_11963.png,-89,-3,1,-12,8,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25736.png,-94,8,-4,-4,-8,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13083.png,-96,6,0,0,-6,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26146.png,-96,5,1,14,8,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20138.png,-86,-8,3,-18,-2,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23378.png,-94,-2,1,-4,-4,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6306.png,-96,-6,-3,2,-6,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31224.png,-91,1,3,2,4,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13785.png,-88,7,1,-8,-4,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2400.png,-96,-8,-1,-6,4,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2151.png,-94,5,-4,16,2,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14131.png,-84,-8,0,4,4,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_94.png,-97,-3,0,-10,-6,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25127.png,-83,2,0,8,2,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33661.png,-95,-8,4,-18,2,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20503.png,-82,3,4,-10,6,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_936.png,-85,-1,1,-14,-6,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29041.png,-82,2,3,-2,-6,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_454.png,-94,-6,-4,-14,-4,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14227.png,-98,7,-3,-6,0,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_10594.png,-93,-1,3,-6,0,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7716.png,-92,8,-4,14,-8,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5429.png,-96,-1,1,14,0,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34580.png,-94,-1,-3,-16,6,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5717.png,-96,3,-3,12,2,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17600.png,-95,-7,3,-8,2,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8671.png,-82,8,2,14,0,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21554.png,-85,7,-2,-6,4,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28778.png,-97,4,-3,12,-2,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_81.png,-96,-3,-1,4,4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3627.png,-89,2,4,14,2,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8435.png,-84,-1,-1,-20,6,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28586.png,-92,-8,-2,-10,-4,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13384.png,-96,-4,4,0,4,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34866.png,-87,5,-3,-6,-6,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9817.png,-93,-3,-4,-18,-8,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25596.png,-90,-7,-1,12,6,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25817.png,-92,-4,0,-14,-6,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6202.png,-94,-5,3,2,-8,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25915.png,-84,-1,-2,-16,4,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26653.png,-95,-7,4,-18,4,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6359.png,-87,7,-4,-8,2,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29701.png,-83,4,-1,6,6,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26306.png,-92,-1,-1,-16,8,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1341.png,-96,7,3,-16,6,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13841.png,-91,5,-1,-12,-8,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20112.png,-97,1,4,-8,6,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31212.png,-85,3,3,14,2,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27615.png,-95,8,1,0,-8,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_8568.png,-95,8,0,-20,-4,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32694.png,-85,-4,4,-6,-6,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9709.png,-86,3,0,-18,-6,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4508.png,-91,-1,1,-10,4,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_25318.png,-98,-1,4,10,-8,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33758.png,-88,-6,-2,-4,-4,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12072.png,-92,7,-1,2,-8,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34229.png,-97,6,3,-16,6,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28549.png,-84,-4,4,-6,-2,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22720.png,-84,7,1,-4,-8,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34661.png,-94,8,-3,16,-4,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30667.png,-94,-8,-4,-12,-4,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1019.png,-95,-6,4,-6,-6,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3441.png,-82,-5,2,18,-8,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24059.png,-93,-5,1,8,6,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24715.png,-98,4,-2,8,-6,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21860.png,-97,-8,-4,18,8,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30378.png,-83,-4,1,-2,6,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7773.png,-91,-2,-2,-16,2,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_10627.png,-87,1,-3,-10,-6,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_33541.png,-97,-5,-4,6,2,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32719.png,-94,-1,0,18,-8,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_34688.png,-91,6,2,-18,8,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3791.png,-95,8,0,8,0,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28637.png,-92,-4,-1,10,-6,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27769.png,-95,0,4,-10,6,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24934.png,-96,5,2,16,2,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_12800.png,-82,-4,3,-6,-4,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1005.png,-90,5,-4,6,6,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3618.png,-87,6,3,18,8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30420.png,-94,3,4,-12,-8,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_2847.png,-93,8,0,-16,8,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21275.png,-85,4,-2,16,4,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23167.png,-88,0,0,-14,6,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19495.png,-91,7,-3,-6,8,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19871.png,-97,-1,4,-16,2,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4577.png,-97,2,-3,14,-4,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26844.png,-89,8,1,2,2,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20526.png,-86,-4,-2,-4,4,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_30473.png,-94,-1,3,-18,-6,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_22541.png,-85,2,-1,10,4,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24785.png,-92,8,1,-14,4,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4360.png,-93,-6,-1,2,-4,8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32366.png,-85,-3,3,-16,4,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6096.png,-93,2,-4,10,-2,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18369.png,-85,3,0,-16,-2,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23534.png,-82,2,-4,-16,8,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_7564.png,-85,-2,-2,4,2,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18294.png,-93,-2,4,-2,8,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_4779.png,-94,5,2,8,-4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31969.png,-84,-2,2,-2,8,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27570.png,-87,-2,4,-10,6,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_16565.png,-86,-4,-3,10,-8,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_3405.png,-87,4,-1,8,6,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1432.png,-95,0,4,-14,6,12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19618.png,-91,-4,-3,8,0,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_18847.png,-97,-6,1,14,-2,-2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_20034.png,-92,-4,3,-4,-8,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5768.png,-98,7,-4,16,-8,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_1157.png,-91,-2,-2,10,-4,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_28659.png,-93,8,4,-14,-4,-12
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31471.png,-85,-6,-2,-20,6,0
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14615.png,-92,5,2,-18,-4,-16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_23970.png,-93,7,-1,-4,0,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_21924.png,-94,6,4,-2,-4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26399.png,-98,-8,2,-20,8,16
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32724.png,-82,0,4,-16,-2,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_24460.png,-83,3,-2,-4,4,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15972.png,-85,-4,0,-10,2,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_17032.png,-91,6,2,-14,-8,-4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14579.png,-83,8,-2,-8,4,10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6982.png,-83,7,3,-8,8,4
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_14546.png,-96,8,3,-2,2,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19185.png,-98,-4,0,10,2,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_19248.png,-82,-8,-1,-8,8,6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32089.png,-88,3,-3,8,2,-14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15426.png,-94,-2,1,18,-4,2
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_32751.png,-82,5,-3,-6,-8,18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_10783.png,-86,-2,2,10,8,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6043.png,-89,2,-2,18,4,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_26859.png,-83,5,0,16,-2,-18
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6257.png,-93,2,-4,-2,-6,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_9023.png,-91,-4,3,2,0,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_5524.png,-98,-3,4,-12,-2,-6
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_27553.png,-86,-3,1,0,4,-10
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_31520.png,-92,5,0,18,2,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_15489.png,-89,3,3,-8,4,-8
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_29951.png,-83,-1,-4,-10,0,14
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_6240.png,-89,8,-1,14,6,-20
F:\dataset\imia\zyt303\DRRs\new_DRRs\img_13995.png,-96,-5,-1,6,6,18
